Perguntas,Respostas
"Como o Transporte Fretado funciona para colaboradores que realizazam Home office?","Conforme padrão RBLA, colaborador deverá ter cadastro, entrar em contato previamente para consulta de rota, ocupação, local de embarque e horário. Caso tenha vaga, poderá utilizar o Fretado. Contatos: (external.ademir.crabios@br.bosch.com) e (roberto.camargo@br.bosch.com)."
"Como será tratado o Fretado para estagiários?","Estagiário é considerado como cadastro de colaborador BOSCH."
"Como será tratado o Fretado para BMS?","Não serão contemplados. Favor procure sua liderança ou área de contratação de BMS."
"Todos os colaboradores terão a qualidade e segurança de vir sentado?","Sim, e o uso do sinto de segurança é obrigatório conforme código de trânsito."
"Colaboradores que precisam trocar de turno ou variações de demanda como proceder?","O líder deve solicitar/informar a demanda via e-mail para: (external.ademir.crabios@br.bosch.com) e (roberto.camargo@br.bosch.com).  "
"Com quem deve ser tratado trocas de endereço e turnos?","O líder deve solicitar/informar a demanda via e-mail para: (external.ademir.crabios@br.bosch.com) e (roberto.camargo@br.bosch.com).  "
"Posso usar uber no lugar do Transporte Fretado ou vale combustivel e apresentar a nota para reembolso?","O Padrão de transporte RBLA é Transporte Fretado, caso dúvidas favor procurar sua liderança ou RH."
"Por quanto tempo devo estar no ponto de embarque?","O colaborador deve estar 10 minutos antes do horário estimado ou acompanhar o trajeto via aplicativo."
"O Transporte Fretado não passou no horário estimado, como proceder?","O colaborador poderá entrar em contato conforme localização, informando o ocorrido e obter informações: Garagem 1 - Mossunguê= 41 2141-5711. Garagem 2 - São José dos Pinhais= 41 2141-5790. Garagem 3 - Fazenda Rio Grande= 41 2141-5799. Garagem 4 - Campo Largo= 41 2141-5718."
"O colaborador atrasou e perdeu o Transporte Fretado, pode solicitar ao fornecedor que o Fretado volte buscá-lo?","Não, o colaborador poderá acompanhar o trajeto via aplicativo."
"Qual será o padrão para público de hora extra de fim de semana ou feriado?","O Transporte Fretado é ofertado para atender entrada e saída dos turnos conforme calendário produtivo. Caso dúvidas favor procurar sua liderança ou RH."
"Existe distância mínima ou máxima para o colaborador soliciar vale transporte?","Não, conforme a política RBLA, a empresa oferece o Transporte Fretado."
"Estágiario que utilizam o Fretado em linhas diferentes, como proceder?","Os estagiários terão que se cadastrar nas rotas (embarque e desembarque)."
"Sou cadastrado em uma rota, ou, linha e quando vou utilizar está cheio de carona, como proceder?","Colaborador Bosch não cadastrado não tem direito aoFretado. Caso o usuário cadastrado perceber algum caronista e se sentir prejudicado como sendo uma falha de processo, favor informar sua liderança para que ela possa desdobrar para a gestão do processo do Transporte Fretado / FCM2-Ct."
"Quais são os padrões para usar o vale transporte?","A Bosch fornece o Transporte Fretado, caso especiais serão estudados."
"Colaboradores que tem condições próprias de deslocamento ir e vir ao trabalho, a empresa precisa fazer reembolso ou ajuda de custo?","Não, a Bosch oferece o Transporte Fretado."
"O colaborador não está cadastrado, pontualmente pode utilizar o Transporte Fretado carona?","Não, a figura do carona não existe mais."
"Posso eventualmente sair da minha rota e usar outra rota carona?","Não, a figura do carona não existe mais."
"Como serão tratados o Transporte Fretado no processo de contratação?","No processo de contratação deve ser abordado os padrões e premissas para o uso do Transporte Fretado. Favor procure sua liderança ou RH"
"Quando o colaborador poderá receber VT?","Troca de turno ou mudança de endereço a qual o colaborador não seja atendido pelo Transporte Fretado ou motivo de capacidade vaga. Hora extra de fim de semana ou feriado onde o Transporte Fretado não esteja planejado, onde o colaborador precisou utilizar de transporte público para ir e vir até o trabalho. OBS: Solicitação de VT deve ser solicitado pelo Lider imediato do colaborador, via formulário e relatório (New Ponto) no período máximo de 30 dias retroativos, a carga será lançado no cartão transporte do colaborador. Toda solicitação será auditada."
"Pessoas que não usam o Fretado ou VT, continuarão a ser descontados na folha?","Tema relacionado a descontos ou folha de pagamento, procure sua liderança ou RH"
"Preciso do vale transporte, será descontado conforme lei?","Tema relacionado a descontos ou folha de pagamento, procure sua liderança ou RH."
"Recebo o VT, posso vir trabalhar de carro, moto ou bicicleta?","Não."
"Qual o prazo para solicitar VT retroativo?","Relatório New Ponto de 30 dias retroativos a partir da data da solicitação."
"Posso escolher opcionalmente o VT caso o transporte público seja mais favorável que o Fretado Bosch","Não, a empresa oferece o Transporte Fretado."
"Casos especiais, como proceder?","Serão estudados."
